    ,Meal_Id    ,Name                                                                          ,catagory    ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Veg_Non ,Nutrient      ,Disease                                                                                                               ,Diet                                                                                                                                                                                    ,Price
 97 ,meal_id75  ,detox haldi tea                                                               ,tea         ,"haldi, ginger, black pepper, honey, water"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,veg     ,manganese     ,heart_disease                                                                                                         ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet                                                                                                                     ,  230
 98 ,meal_id76  ,holi special ice tea thandai                                                  ,tea         ,"ground white pepper (kali mirch), assam tea bags, almonds (badam) - coarsley crushed, poppy seeds (khus-khus), fennel seeds (saunf) (crushed coarsely), cardamom (elaichi) powder, ground sugar, saffron (kesar) strands"                                                                                                                                                                                                                                                                                                                                              ,veg     ,calcium       ,kidney_disease heart_disease                                                                                          ,low_fat_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet                                                                                                                   ,  620
101 ,meal_id79  ,beetroot and green apple soup                                                 ,soup        ,"beetroots, green apple, onion, olive oil, salt, black peppercorns (crushed), butter, vegetable stock, mixed dried herbs, fresh cream, lemon juice, parsley sprigs, red chilli flakes, soup sticks as required"                                                                                                                                                                                                                                                                                                                                                         ,veg     ,sodium        ,anemia pregnancy hypertension scurvy heart_disease goitre kidney_disease obesity diabeties                            ,alkaline_diet high_fiber_diet hormone_diet high_protien_diet dash_diet                                                                                                                  ,  340
102 ,meal_id80  ,baba budan no. 7                                                              ,cardamom    ,"rum, espresso, sugar syrup/gur (jaggery) syrup, green cardamom pod,"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,veg     ,iron          ,eye_disease rickets heart_disease scurvy                                                                              ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet                                                                                                                     ,  405
103 ,meal_id81  ,fruit infused tea                                                             ,tea         ,"chamomile tea bags, orange, berries, blueberries, ginger, mint leaves, boiling water"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,veg     ,manganese     ,pregnancy hypertension scurvy heart_disease eye_disease obesity diabeties                                             ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet                                                                                                   ,  680
104 ,meal_id82  ,soya milk                                                                     ,milk        ,"soybean, hot water"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,veg     ,vitamin_d     ,cancer hypertension rickets                                                                                           ,low_fat_diet ketogenic_diet high_fiber_diet high_protien_diet dash_diet                                                                                                                 ,  535
107 ,meal_id75  ,detox haldi tea                                                               ,tea         ,"Turmeric, Ginger, Black Pepper, Honey, Water"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,veg     ,manganese     ,heart_disease                                                                                                         ,low_fat_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet                                                                                                                     ,  300
108 ,meal_id34  ,mixed berry &amp; banana smoothie                                             ,smoothie    ,"Frozen mixed berries, ripe banana, fresh orange juice, low fat yogurt"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,veg     ,selenium      ,diabeties hypertension                                                                                                ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet dash_diet                                                                                                          ,  330
109 ,meal_id35  ,banana walnut smoothie                                                        ,smoothie    ,"Low fat yogurt, banana, walnuts, seeds (flaxseeds and chia seeds), honey"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,veg     ,selenium      ,hypertension                                                                                                          ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_fiber_diet                                                                                                                    ,  360
112 ,meal_id85  ,garlic and pinenut soup with burnt butter essence                             ,soup        ,"garlic cloves, almonds (whole), parsley, bayleaf, chicken broth, nutmeg, egg yolk, heavy cream, white bread slices, butter, salt, pepper, white wine"                                                                                                                                                                                                                                                                                                                                                                                                                  ,non-veg ,vitamin_a     ,hypertension cancer heart_disease kidney_disease obesity diabeties                                                    ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet dash_diet type_a_diet                                                                                                         ,  565
115 ,meal_id87  ,roasted spring chicken with root veggies                                      ,chicken     ,"whole chicken, thyme, garlic, lemon, orange, salt, black pepper, butter (to rub), extra olive oil, carrot, turnip, beetroot, chipotle powder, parsley"                                                                                                                                                                                                                                                                                                                                                                                                                 ,non-veg ,iron          ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,alkaline_diet low_fat_diet low_carb_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                           ,  645
118 ,meal_id56  ,chocolate samosa                                                              ,chicken     ,"refined flour, desi ghee, black cardamom seeds, chocolate flutter_block, almonds, cashew nuts, pistachio, sugar, garam masala powder, oil"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,non-veg ,magnesium     ,hypertension heart_disease                                                                                            ,high_protien_diet high_fiber_diet ketogenic_diet                                                                                                                                        ,  580
119 ,meal_id90  ,half roast chicken                                                            ,chicken     ,"cooking oil, whole chicken (skin on- rinsed and dressed), onions (quartered- skin on), garlic (halved - skin on), carrots (roughly quartered), celery , thyme, dunkleweizen (pour into a glass and keep open at room temperature for an hour or two to make flat), chicken stock, butter, sea salt"                                                                                                                                                                                                                                                                    ,non-veg ,vitamin_a     ,anemia pregnancy scurvy heart_disease rickets goitre kidney_disease obesity diabeties                                 ,low_fat_diet low_carb_diet ketogenic_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                                         ,  555
130 ,meal_id101 ,crispy herb chicken                                                           ,chicken     ,"fresh breadcrumbs, parmesan cheese, lemon rind, fresh parsley leaves, garlic powder, plain flour, egg, milk, chicken breast supremes, vegetable oil, mayonnaise, sour cream, fresh chives (dried if fresh not available), fresh parsley (dried if fresh not available), garlic, red onion (optional), ground black pepper, salt"                                                                                                                                                                                                                                       ,non-veg ,chloride      ,anemia rickets goitre kidney_disease pregnancy diabeties                                                              ,low_fat_diet low_carb_diet vegan_diet hormone_diet high_protien_diet type_a_diet                                                                                                        ,  400
137 ,meal_id107 ,garlic soya chicken                                                           ,chicken     ,"chicken thigh/breast (cut crosswise into 1/2-inch-thin strips), sesame oil (toasted), white pepper (finely ground), ginger juice, peanut oil or vegetable oil (divided), garlic cloves (minced), ginger, red chilli flakes, red onion , snow peas (trimmed), red bell pepper (cut into thin strips), rice vinegar, soy sauce, dark soy sauce, chinese rice wine, brown sugar, cornflour"                                                                                                                                                                               ,non-veg ,iron          ,anemia hypertension cancer heart_disease rickets goitre kidney_disease pregnancy diabeties                            ,alkaline_diet low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet type_a_diet                                                                ,  260
141 ,meal_id111 ,plum and cherry roasted chicken                                               ,chicken     ,"carrot (finely diced), onion (finely diced), celery (finely diced), fresh thyme sprigs, whole free range chicken , pepper (freshly ground), parsley stems, celery leaves, lemon slices (1/8 inch thick), onion, carrot, fresh lemon juice, chicken stock/broth, plums (cut), fresh cherries"                                                                                                                                                                                                                                                                           ,non-veg ,iron          ,anemia hypertension scurvy rickets goitre kidney_disease pregnancy                                                    ,alkaline_diet low_fat_diet low_carb_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                                          ,  335
149 ,meal_id118 ,grilled kasundi honey chicken with sweet potato mash                          ,chicken     ,"Chicken breast, kasundi (Bengali mustard sauce), sweet potato, red and yellow capsicum, broccoli, garlic cloves, refined oil, salt, butter, cream, green onion, honey, ginger and garlic paste."                                                                                                                                                                                                                                                                                                                                                                       ,non-veg ,iron          ,anemia hypertension scurvy rickets goitre kidney_disease pregnancy                                                    ,alkaline_diet low_fat_diet paleo_diet Mediterranean_diet low_carb_diet low_sodium_diet gluten_free_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet dash_diet type_a_diet ,  240
156 ,meal_id2   ,chicken minced salad                                                          ,salad       ,"Olive oil, chicken mince, garlic, onion, salt, pepper, carrot, cabbage, green onion, sweet chili sauce, peanut butter, ginger, soy sauce, fresh coriander, chili flakes, tart"                                                                                                                                                                                                                                                                                                                                                                                         ,non-veg ,fiber         ,anemia pregnancy hypertension rickets goitre kidney_disease obesity                                                   ,low_fat_diet low_carb_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet hormone_diet high_protien_diet type_a_diet                                                         ,  455
173 ,meal_id136 ,malabari fish curry                                                           ,curry       ,"sear fish, coconut, ginger, pureed tamarind, salt, powdered turmeric, green chillies, red chilli powder, shallots"                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  405
174 ,meal_id137 ,portugese fish stew                                                           ,fish        ,"sole fillet (you can also do 2/3 types of fish), large shrimps (optional), potatoes (peeled), onions (cut into slices), garlic cloves, red capsicum (can use green also), parsley or coriander (choose the herb that most suits your taste buds), few dashes of hot sauce, paprika, olive oil, white wine, rock salt"                                                                                                                                                                                                                                                  ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  455
175 ,meal_id138 ,malabar fish curry                                                            ,curry       ,"whole coriander seeds, whole red chilli, coconut oil, mustard seeds, onion, curry leaf, coconut milk, tamarind pulp, coriander, seabass fish curry cuts"                                                                                                                                                                                                                                                                                                                                                                                                               ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  510
176 ,meal_id139 ,surmai curry with lobster butter rice                                         ,rice        ,"tamarind, red chilli powder, turmeric powder, salt, fresh coconut, onion, garlic cloves, coriander seeds, fenugreek seeds, red chilli powder, turmeric powder, tamarind (lemon sized), butter, lobster (de-shell and devein and make a small cube), salt and lime, surmai"                                                                                                                                                                                                                                                                                             ,veg     ,chloride      ,obesity diabeties anemia                                                                                              ,low_sodium_diet vegan_diet dash_diet ketogenic_diet                                                                                                                                     ,  445
177 ,meal_id140 ,seared salmon in tabasco butter                                               ,butter      ,"butter, tabasco, chives, salt, salmon fillet, olive oil, sea salt"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,non-veg ,calcium       ,anemia pregnancy hypertension heart_disease rickets goitre obesity diabeties                                          ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet                                                                                                                ,  265
178 ,meal_id141 ,"risotto lobster with parmesan egg pancake, confit tomatoes and coral tuille" ,egg         ,"lobster shell, carrot, leeks, garlic cloves, tomato paste, bay leaf, peppercorn, water, lobster meat, arborio rice, onion, leeks, lobster stock, parmesan cheese, cream, salt, olive oil, egg, parmesan, flour, milk, parsley, salt, cherry tomatoes, garlic pods, olive oil, water, oil, flour, salt"                                                                                                                                                                                                                                                                 ,non-veg ,vitamin_c     ,hypertension cancer heart_disease rickets goitre kidney_disease pregnancy diabeties                                   ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet dash_diet                                                                                                 ,  455
179 ,meal_id142 ,fish skewers with coriander and red wine vinegar dressing                     ,wine        ,"sea bass fillets, olive oil (for grilling), red wine vinegar, sugar, extra virgin olive oil, garlic clove, coriander, bamboo skewers"                                                                                                                                                                                                                                                                                                                                                                                                                                  ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer scurvy heart_disease rickets goitre kidney_disease obesity diabeties             ,alkaline_diet low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                          ,  665
183 ,meal_id146 ,goan prawn curry &amp; baked rice canapes                                     ,rice        ,"jeera whole, coriander seeds, kashmiri chilly, garlic, ginger, green chillies, kokum, coconut, onion, tomatoes, coriander, prawns, salt, turmeric powder, garlic paste, asafoetida, refined oil, ginger paste, goan rice, coconut milk, green chillies, fresh coconut, hing, refined oil, coriander leaves, basmati rice, coconut milk, green chillies, coconut milk, coconut, salt, green chillies, curry leaf, lecite"                                                                                                                                               ,veg     ,iron          ,obesity diabeties goitre anemia                                                                                       ,low_fat_diet ketogenic_diet low_sodium_diet vegan_diet high_fiber_diet dash_diet                                                                                                        ,  550
184 ,meal_id147 ,bihari fish curry                                                             ,curry       ,"rohu fish, salt, turmeric powder, chilli powder, oil, garlic , green chillies, mustard seeds, black peppercorns, cumin seeds, whole red chillies, fenugreek seeds, tomatoes, mustard oil, bay leaves, water, garam masala, coriander leaves"                                                                                                                                                                                                                                                                                                                           ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  220
185 ,meal_id57  ,fish with jamun sauce                                                         ,sauce       ,"jamun, sugar, chilli, garlic cloves (minced), cumin (powdered), fish fillet (pomfret (or any white fish), semolina, salt, wilted spinach"                                                                                                                                                                                                                                                                                                                                                                                                                              ,non-veg ,vitamin_c     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  560
186 ,meal_id148 ,beer batter fish fingers                                                      ,fish        ,"river sole fish (cut in thin strips), garlic paste, salt , lime juice, beer, flour, cornflour, white pepper, eggs, mustard"                                                                                                                                                                                                                                                                                                                                                                                                                                            ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet gluten_free_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                         ,  635
187 ,meal_id149 ,prawn and litchi salad                                                        ,salad       ,"prawns (shelled and cleaned), spring onions, mango flesh, litchis (deseeded), chilli flakes, lemon (for lemon juice), olive oil, peanuts (to garnish), salt"                                                                                                                                                                                                                                                                                                                                                                                                           ,veg     ,fiber         ,obesity goitre hypertension                                                                                           ,low_fat_diet ketogenic_diet low_sodium_diet high_fiber_diet high_protien_diet                                                                                                           ,  385
188 ,meal_id150 ,kerala fish curry                                                             ,curry       ,"white fish (cut into cubes), onion, tomato, garlic cloves, fresh green chillies (deseeded), oil, fresh coconut paste, red chilli paste, coriander powder, turmeric powder, salt, whole dry red chillies, black mustard seeds, curry leaves, tamarind extract, water"                                                                                                                                                                                                                                                                                                   ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  405
189 ,meal_id151 ,fish andlouse                                                                 ,fish        ,"white wine and water mix to cover, onion, salt, bay leaf, black pepper corns, olive oil, onion, garlic, tomatoes (peeled and seeded), basil leaves, spring fresh thyme - optional 1 bay leaf, salt and pepper, olive oil, wine vinegar, prepared mustard, salt and pepper, assorted garden herbs ( parsley, basil etc."                                                                                                                                                                                                                                                ,non-veg ,vitamin_c     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  255
190 ,meal_id57  ,fish with jamun sauce                                                         ,sauce       ,"Berries, sugar, chilli, garlic cloves, cumin powder, fish fillet, semolina, salt, spinach"                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  210
191 ,meal_id59  ,pesto fish kebabs                                                             ,kebabs      ,"King fish cut into one inch pieces, red capsicum cut into one inch pieces, basil pesto, white wine vinegar, salt, cooking spray"                                                                                                                                                                                                                                                                                                                                                                                                                                       ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  230
192 ,meal_id152 ,prawn fried rice                                                              ,rice        ,"Oil, Bacon, Prawns, Chicken, Carrots, Garlic Cloves, Ginger, Spring Onion, Sweet Chili Sauce, Soy Sauce, Salt, Black Pepper, Sweet Corn, Vinegar, Cooked Rice, Coriander"                                                                                                                                                                                                                                                                                                                                                                                              ,veg     ,carbohydrates ,obesity cancer diabeties anemia                                                                                       ,alkaline_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet                                                                                                        ,  575
193 ,meal_id153 ,damdama fish curry                                                            ,curry       ,"Fish, Onion, Tomato, Degi Red Chilli Powder, Cumin Powder, Coriander Powder, Green Coriander, Cumin, Salt, Oil"                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  555
195 ,meal_id136 ,malabari fish curry                                                           ,curry       ,"Fish, coconut, ginger, tamarind puree, salt, turmeric powder, small green chilli, red chilli powder, scallion"                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  590
196 ,meal_id154 ,fish with white sauce                                                         ,sauce       ,"Fillet fish, oil, milk, flour, butter, salt, ground black pepper"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer scurvy heart_disease rickets goitre kidney_disease obesity diabeties             ,alkaline_diet low_fat_diet omni_diet ketogenic_diet vegan_diet hormone_diet high_protien_diet dash_diet low_carb_diet                                                                   ,  240
197 ,meal_id155 ,chilli fish                                                                   ,fish        ,"Fish pieces (boneless), flour, cornflour, baking powder, soy sauce, celery, black pepper, salt, oil, green onion, for sauce: ginger, garlic, green chilli, soy sauce, tomato sauce, chilli sauce, cornflour"                                                                                                                                                                                                                                                                                                                                                           ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  290
198 ,meal_id156 ,fish ambultiyal                                                               ,fish        ,"Tuna, onion, fenugreek seeds, whole chilli, pandan leaf, salt, water, cardamom, cinnamon, coriander powder, black pepper, red chilli, curry powder, garlic (crushed), chilli flakes, gorka, salt"                                                                                                                                                                                                                                                                                                                                                                      ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  675
199 ,meal_id157 ,chettinad fish fry                                                            ,fish        ,"Surmai fish, oil, garlic cloves, ginger (mash), cumin, fennel, coriander seeds, black pepper, mustard seeds, curry leaves, salt, oil, water, tomato, red chilli powder, turmeric powder, tamarind pulp, cornflour, lemon. pieces of"                                                                                                                                                                                                                                                                                                                                   ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  545
200 ,meal_id158 ,fish moilee                                                                   ,fish        ,"?Baasa fish, onion, ginger, garlic cloves, green chilli, turmeric, red chilli powder, coriander powder, lemon juice, curry leaves, refined oil, mustard seeds, black pepper, fennel, green cardamom, coconut milk, Cherry tomatoes"                                                                                                                                                                                                                                                                                                                                    ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  580
201 ,meal_id159 ,batter fish                                                                   ,fish        ,"Fresh fish pieces (river sole or sea bass), flour, parsley, oil, baking powder, flour, egg (optional), soda water, salt and pepper"                                                                                                                                                                                                                                                                                                                                                                                                                                    ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  430
202 ,meal_id160 ,fish salan                                                                    ,fish        ,"King fish, ripe tomatoes, desi ghee, ginger-garlic paste, onion, turmeric powder, red chilli powder, black pepper powder, garam masala, dry ginger, turmeric powder, fennel powder, refined oil, salt, water."                                                                                                                                                                                                                                                                                                                                                         ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  515
203 ,meal_id161 ,spanish fish fry                                                              ,fish        ,"Sole fish, tomato, onion, lemon juice, olive oil, ginger and garlic paste, bay leaf, cinnamon stick, green chilli, vinegar, salt, water."                                                                                                                                                                                                                                                                                                                                                                                                                              ,non-veg ,vitamin_a     ,anemia pregnancy hypertension cancer heart_disease rickets goitre kidney_disease obesity diabeties                    ,alkaline_diet low_fat_diet ketogenic_diet vegan_diet high_protien_diet dash_diet low_carb_diet                                                                                          ,  605
205 ,meal_id163 ,red rice vermicelli kheer                                                     ,rice        ,"red rice vermicelli / broken sooji / semolina vermicelli, butter, almonds, whole milk, cardamom powder, saffron strands / thread, sugar"                                                                                                                                                                                                                                                                                                                                                                                                                               ,veg     ,carbohydrates ,anemia pregnancy cancer scurvy kidney_disease obesity diabeties                                                       ,alkaline_diet ketogenic_diet vegan_diet high_protien_diet dash_diet                                                                                                                     ,  650
